src,trg,Baseline,Fine-tuned,trg_swapped,Token Swap,TS Fine-tuned,Baseline_BLEURT,Fine-tuned_BLEURT,Token Swap_BLEURT,TS Fine-tuned_BLEURT
A warehouse worker in a retail store is holding a cell phone and preparing to package up a parcel to ship overseas.,間零售店嘅倉務員拎住部手機，同埋準備打包個包裹寄去海外。,The storekeeper in the retail store takes the cell phone and prepares to pack a parcel to be sent abroad.,The warehouse clerk at a retail store is holding a cell phone and preparing to pack a package for shipment abroad.,間零售店的倉務員拎居住部手機，和埋準備打包那个包裹寄去海外。,The warehouseman at the retail store took the mobile phone from the residence and prepared to pack the parcel for shipment abroad.,The warehouse clerk at a retail store is carrying a cell phone and preparing to pack the package for shipment abroad.,0.7160264849662781,0.7824891805648804,0.6238054633140564,0.7634021639823914
Accessories lend visual appeal through pattern and texture.,配飾通過圖案同質感令視覺外觀更吸引。,The decorations are made more attractive by the uniformity of the pattern.,Decoration makes the visual appearance more appealing by creating a pattern and texture sense.,配飾通过图案和質感令视觉外觀更吸引。,Decoration makes the visual appearance more attractive through patterns and textures.,Decoration adds visual appeal to a space through patterns and textures.,0.5656788349151611,0.6497012972831726,0.6888270974159241,0.7377167344093323
"Adaptability - flexible, agile mindset, optimistic approach;",適應能力 - 彈性同靈活嘅思維，積極樂觀嘅態度；,"Adaptability - flexibility and agility of thinking, positive optimism;","Adaptation - resilience and agile thinking, positive optimism;",适应能力 - 弹性和靈活的思維，積極乐观的态度；,"Adaptability - resilience and flexibility of mind, positive optimism;","Adaptation - resilient and flexible thinking, positive optimism;",0.7937506437301636,0.6754993200302124,0.7024908661842346,0.7053870558738708
"As a reminder, this company launched a 34-inch curved gaming monitor last October.",提醒返，呢間公司舊年十月推出咗一款34吋曲面遊戲顯示器。,"In October 2011, the company announced a 34-inch curved gaming monitor.",Recall that the company launched a 34-inch curved gaming monitor last October.,提醒返，呢間公司舊年十月推出咗一款34吋曲脸游戏顯示器。,"In October 2011, the company launched a 34-inch curved-face gaming monitor.",Recall that the company launched a 34-inch curved gaming monitor last October.,0.756726086139679,0.8164272904396057,0.7289138436317444,0.8164272904396057
"As a result, the teeth eventually develop a dull, lackluster appearance.",結果，啲牙最終會變到暗啞無光。,"As a result, the teeth eventually become dull and unsightly.","As a result, the teeth eventually become dull and dim.",结果，啲牙最終会變到暗啞無亮。,"As a result, the teeth eventually become dull and unsightly.","As a result, the teeth eventually become dull and unsightly.",0.819253146648407,0.7841593623161316,0.819253146648407,0.819253146648407
"As images of the perfectly rational Creator, humans strive for internal consistency.",作為完全理性嘅創造者嘅形象，人類係追求內部一致性。,"As the image of a perfectly rational creator, humans are in search of inner consistency.","As the creator of perfect rationality, humans are in a pursuit of inner consistency.",作为完全理性的创造者的形象，人類是追求内部一致性。,"As the image of a perfectly rational creator, humankind is in search of inner coherence.",The image of man as a creator of perfect reason is a quest for inner consistency.,0.7891799807548523,0.6890032887458801,0.7692329287528992,0.6725096106529236
"As we noted, wrath can be open and obvious or subtle and hidden, and it can acquire targets unrelated to the source.",正如我哋所講，憤怒可以公開同明顯或者低調同隱蔽，同埋佢可以針對同憤怒來源無關嘅目標。,"Anger can be open and explicit, as we have said, or subdued and hidden, and it can be directed at targets that are not related to the source of anger.","As we have said, anger can be open and explicit or subdued and concealed, and it can be directed at targets that are not related to the source of anger.",正如我哋所说，愤怒可以公開和显然或者低調和隱蔽，和埋他可以針对和愤怒来源無關的目标。,"Anger can be open and obvious, as we have said, or subdued and hidden, and it can be directed at targets that are not related to the source of anger.","As we have said, anger can be open and obvious or subdued and concealed, and it can be directed at targets that are not related to the source of anger.",0.6717278957366943,0.7063140273094177,0.678977906703949,0.7100226879119873
"Basically he's dizzy, can hardly walk, lost his balance, speech was impaired, said spectacular things.",基本上佢就係頭暈，行路有困難，平衡唔到，講嘢一舊舊，亂咁講嘢。,"He is a very shy, unconcerned, and unconcerned person, and he is very uncomfortable with the way things are.","Basically, he was dizzy, he had trouble walking, he couldn't keep his balance, he was talking old-fashioned things, he was talking in a way that wasn't proper.",基本上他就是头暈，走路有困难，平衡不到，说东西一舊舊，亂咁说东西。,"He is a very shy person, and he is not very good at talking, but he is very good at talking, and he is very good at talking.","Basically, he was dizzy, he had trouble walking, he couldn't keep his balance, he was talking like he was a stupid idiot.",0.411196768283844,0.6747488379478455,0.4565712809562683,0.6811012625694275
"Bear in mind, constantly try to purchase silk plants, as they tend to appear like the genuine thing.",要記住，不斷試下買絲花植物，因為佢哋睇落同真嘅一樣。,"Remember, keep trying to buy silk plants because they look like real ones.","Remember, try to buy silk plants because they look like they are.",要記居住，不斷试试购买丝花植物，因为他哋看下和真的一樣。,They are often used to make the plant's leaves and flowers look like they are actually flowers.,Remember to stay informed and keep trying to buy silk plants because they look like they are.,0.7619478702545166,0.6089146733283997,0.47070467472076416,0.64130699634552
"Beauty became her mystery, companion, guide, and inspiration.",美變咗佢嘅秘密、伴侶、導師同靈感。,"She became his secret, companion, mentor and inspiration.","Beauty became her secret, her companion, her mentor, and her inspiration.",美變咗他的秘密、伴侶、導師和灵感。,"He became his mentor, mentor, and mentor.","Beauty became his secret, his companion, his mentor, and his inspiration.",0.4961734414100647,0.7900077700614929,0.3362872004508972,0.7199142575263977
"Buddha, in one of his famous quotes, pointed out that the origin of suffering is precisely attachment.",佛陀其中一句好出名嘅引言指出，痛苦嘅根源正正就係執著。,One of the famous introductory words of the Buddha states that the root cause of suffering is attachment.,One of the famous introductions of the Buddha states that the root of suffering is attachment.,佛陀其中一句好出名的引言指出，痛苦的根源正正就是執著。,One of the Buddha’s famous introductions states that the root cause of suffering is attachment.,One of the famous introductory words of the Buddha states that the root of suffering is attachment.,0.7724132537841797,0.7588503956794739,0.7626325488090515,0.7721123099327087
